Zone	Org District	AC	Org Mandal	LBName	2020 LSG		2024 GE		2025 LSG	
Ernakulam 	Thrissur North	Wadakkanchery	Kaipparambu	Adat	18.74%	4018	21.10%	4058	39%	10615
Ernakulam 	Thrissur City	Ollur	Peechi	Puthur	21.16%	6822	37.80%	579	39%	14951
Alappuzha	Idukki South	Idukki	Idukki	Konnathady Gramapanchayath	1.74%	293	13.10%	1906	14.10%	3183
Alappuzha	Idukki North	Devikulam	Adimali	Adimali	3.29%	772	10.30%	2071	11.30%	3410
Ernakulam 	Ernakulam East	Piravom	Piravom	Koothattukulam	1.07%	127	14.30%	1310	15.30%	2146
Ernakulam 	Ernakulam East	Piravom	Piravom	Piravom	3.51%	613	15.20%	2176	16.20%	3511
Ernakulam 	Ernakulam City	Thripunithura	Palluruthy	Maradu	5.58%	1497	14.30%	NA	15.30%	4829
Ernakulam 	Ernakulam City	Thrikkakara	Thrikkakara	Thrikkakara	4.84%	2227	12.70%	NA	13.70%	8644
Palakkad 	Palakkad West	Tarur	Tharur	Kottayi Gramapanchayath	21.65%	3335	22.10%	3018	25%	4439
Ernakulam 	Ernakulam North	Angamaly	Angamaly	Angamaly	4.93%	1118	7.70%	1429	8.70%	2366
Palakkad 	Palakkad West	Shornur	Shornur	Chalavara Gramapanchayath	20.65%	3181	22.20%	3153	25%	4676
Ernakulam 	Ernakulam North	Kalamassery	Kalamassery	Kalamassery	6.64%	2760	13%	4457	14%	7171
Ernakulam 	Thrissur North	Chelakkara	Chelakkara	Thiruvilwamala	31.87%	6150	27.90%	4581	39%	9406
Alappuzha	Kottayam West	Ettumanoor	Ettumanoor	Ettumanoor	12.52%	3263	22.40%	5160	25%	8612
Ernakulam 	Ernakulam East	Kothamangalam	Kothamangalam	Kothamangalam	3.75%	955	9.40%	2179	10.40%	3149
Ernakulam 	Ernakulam East	Muvattupuzha	Muvattupuzha	Muvattupuzha	4.80%	894	11.70%	2355	12.70%	2732
Ernakulam 	Thrissur North	Chelakkara	Chelakkara	Kondazhy	23.95%	3599	22.50%	2924	39%	6952
Ernakulam 	Ernakulam East	Muvattupuzha	Muvattupuzha	Valakom Gramapanchayath	12.54%	1671	15.20%	1258	16.20%	2433
Ernakulam 	Ernakulam East	Muvattupuzha	Muvattupuzha	Marady Gramapanchayath	1.29%	138	11.10%	975	12.10%	1461
Ernakulam 	Ernakulam East	Muvattupuzha	Vazhakkulam	Manjalloor Gramapanchayath	8.16%	865	12.30%	1104	13.30%	1788
Ernakulam 	Ernakulam East	Muvattupuzha	Vazhakkulam	Ayavana	4.59%	619	9.80%	1070	10.80%	1657
Ernakulam 	Ernakulam East	Muvattupuzha	Vazhakkulam	Kalloorkaad Gramapanchayath	1.55%	135	11.10%	767	12.10%	1271
Ernakulam 	Ernakulam East	Muvattupuzha	Muvattupuzha	Paipra Gramapanchayath	2.76%	825	6.60%	1445	7.60%	2575
Ernakulam 	Ernakulam East	Muvattupuzha	Muvattupuzha	Arakkuzha	3.87%	395	11.80%	1013	12.80%	1464
Ernakulam 	Ernakulam East	Muvattupuzha	Vazhakkulam	Avoly	2.66%	350	8.80%	996	9.80%	1495
Ernakulam 	Ernakulam North	Paravoor	Vadakkekara	Puthenvelikkara Gramapanchayath	7.79%	1417	11.70%	1893	12.70%	2650
Ernakulam 	Ernakulam North	Aluva	Nedumbassery	Sreemoolanagaram	11.16%	1972	10.40%	1630	12.16%	2320
Ernakulam 	Thrissur North	Chelakkara	Chelakkara	Chelakkara	15.93%	4283	16.20%	3939	39%	12803
Ernakulam 	Ernakulam North	Angamaly	Angamaly	Parakkadavu Gramapanchayath	11.97%	2478	10.40%	1858	12.97%	3289
Ernakulam 	Ernakulam North	Aluva	Nedumbassery	Nedumbassery Gramapanchayath	14.16%	3084	12.10%	2326	15.16%	3668
Ernakulam 	Thrissur North	Kunnamkulam	Kunnamkulam	Porkulam	24.40%	2802	24.50%	2871	39%	5297
Palakkad 	Palakkad West	Thrithala	Thrithala	Thirumittacode Gramapanchayath	17.27%	3660	22.50%	2006	25%	6463
Ernakulam 	Ernakulam East	Piravom	Piravom	Pampakuda Gramapanchayath	5.57%	654	15.20%	1780	16.20%	2197
Ernakulam 	Ernakulam East	Muvattupuzha	Muvattupuzha	Palakuzha Gramapanchayath	5.88%	553	10%	774	11%	1187
Ernakulam 	Ernakulam East	Piravom	Piravom	Thirumaradi Gramapanchayath	1.79%	211	14.30%	1313	15.30%	2051
Ernakulam 	Ernakulam East	Piravom	Piravom	Elanji	4.13%	415	14.20%	1191	15.20%	2001
Ernakulam 	Ernakulam East	Kothamangalam	Kothamangalam	Kottappady Grama Panchayath	6.16%	758	12.30%	1241	13.30%	1570
Ernakulam 	Ernakulam East	Kothamangalam	Kavalangad	Kuttampuzha Gramapanchayath	8.26%	1362	8.30%	1128	9.30%	1828
Ernakulam 	Ernakulam East	Kothamangalam	Kavalangad	Pallarimangalam Gramapanchayath	NA	NA	2.80%	212	3.80%	426
Ernakulam 	Ernakulam East	Muvattupuzha	Vazhakkulam	Pothanikkad Gramapanchayath	2.29%	163	9.70%	551	10.70%	874
Ernakulam 	Ernakulam East	Kothamangalam	Kavalangad	Keerampaara Gramapanchayath	0.67%	54	6.40%	435	7.40%	698
Ernakulam 	Ernakulam East	Kothamangalam	Kavalangad	Varapetty Gramapanchayath	7.19%	942	10.30%	1222	11.30%	1724
Ernakulam 	Ernakulam East	Kothamangalam	Kavalangad	Kavalangad Gramapanchayath	6.35%	1216	10.30%	1497	11.30%	2382
Ernakulam 	Ernakulam East	Kothamangalam	Kothamangalam	Pindimana Gramapanchayath	12.14%	1331	14.40%	1210	15.40%	1818
Ernakulam 	Ernakulam East	Kothamangalam	Kothamangalam	Nellikuzhy Gramapanchayath	10.18%	2807	9.90%	2376	11.18%	3362
Ernakulam 	Ernakulam East	Muvattupuzha	Vazhakkulam	Paingottoor Gramapanchayath	5.32%	553	10.60%	951	11.60%	1374
Ernakulam 	Ernakulam East	Kunnathunad	Kunnathunadu	Kunnathunad Gramapanchayath	3.83%	887	4.70%	1018	5.70%	1452
Ernakulam 	Ernakulam East	Kunnathunad	Kolenchery	Aikkaranadu Gramapanchayath	3.39%	467	3.60%	461	4.60%	769
Ernakulam 	Ernakulam East	Kunnathunad	Kunnathunadu	Mazhuvanoor Gramapanchayath	7.93%	1931	6.90%	1376	8.93%	2381
Ernakulam 	Ernakulam East	Kunnathunad	Kolenchery	Vadavukode-Puthencruz Gramapanachayath	1.53%	242	5.20%	978	6.20%	1083
Ernakulam 	Ernakulam East	Kunnathunad	Kolenchery	Thiruvaniyoor Gramapanchayath	7.45%	1327	6.40%	1065	8.45%	1742
Ernakulam 	Ernakulam East	Kunnathunad	Kolenchery	Poothrika Gramapanchayath	10.37%	1417	4.10%	408	11.37%	1842
Ernakulam 	Ernakulam East	Piravom	Chottanikara	Maneedu Gramapanchayath	2.47%	298	10.20%	1026	11.20%	1558
Ernakulam 	Ernakulam East	Piravom	Chottanikara	Amballur	7.25%	1251	19.50%	2987	20.50%	4265
Ernakulam 	Ernakulam East	Piravom	Chottanikara	Edakkattuvayal	7.46%	984	19.30%	1965	20.30%	3124
Ernakulam 	Ernakulam East	Piravom	Chottanikara	Chottanikara Gramapanchayath	11.69%	1852	18.90%	2638	19.90%	3714
Ernakulam 	Ernakulam East	Piravom	Chottanikara	Mulamthuruthy Gramapanchayath	6.25%	1030	15.40%	2769	16.40%	3055
Ernakulam 	Ernakulam City	Thripunithura	Thrippunithura	Udayamperoor	10.96%	2707	18.50%	4081	19.50%	6025
Ernakulam 	Thrissur North	Kunnamkulam	Kunnamkulam	Chowannur	25.91%	2966	25.10%	2445	39%	4984
Ernakulam 	Ernakulam City	Kochi	Kochi	Kumbalam Gramapanchayath	9.65%	1784	8.30%	1362	10.65%	2345
Ernakulam 	Ernakulam City	Kochi	Kochi	Chellanam Gramapanchayath	4.92%	1110	5.20%	1026	6.20%	1648
Ernakulam 	Thrissur North	Guruvayoor	Guruvayoor	Punnayoorkulam	16.03%	3425	31%	6286	39%	10892
Alappuzha	Alappuzha North	Alappuzha	Alappuzha	Alappuzha	14.36%	13612	22.70%	21452	25%	30128
Ernakulam 	Ernakulam City	Vypen	Cherayi	Edavanakad	10.61%	1373	12.60%	1351	13.60%	2171
Thiruvananthapuram	Pathanamthitta	Thiruvalla	Thiruvalla	Nedumpram Gramapanchayath	26.20%	2271	28.50%	2092	39%	4315
Ernakulam 	Ernakulam City	Vypen	Vypin	Njarackal Gramapanchayath	7.21%	961	10.70%	959	11.70%	1976
Palakkad 	Palakkad East	Malampuzha	Malampuzha	Puduppariyaram Gramapanchayath	21.49%	4732	30%	6869	39%	11369
Ernakulam 	Ernakulam City	Vypen	Vypin	Mulavukadu Gramapanchayath	4.85%	642	8.60%	1013	9.60%	1400
Ernakulam 	Ernakulam City	Eranakulam	Ernakulam North	Cherannalloor Gramapanchayat	7.44%	1369	14.40%	2422	15.40%	3574
Ernakulam 	Ernakulam City	Vypen	Vypin	Kadamakkudy Gramapanchayath	5.15%	581	8.20%	792	9.20%	1082
Ernakulam 	Ernakulam North	Aluva	Aluva	Keezhmadu Gramapanchayath	7.71%	1793	8.30%	1793	9.30%	2546
Ernakulam 	Ernakulam North	Aluva	Aluva	Edathala	10.88%	3160	9.10%	2008	11.88%	4058
Ernakulam 	Ernakulam North	Aluva	Aluva	Choornikkara Gramapanchayath	8.34%	1634	9.30%	1800	10.30%	2429
Ernakulam 	Ernakulam East	Kunnathunad	Kunnathunadu	Kizhakkambalam Gramapanchayath	1.29%	321	2.60%	597	3.60%	959
Ernakulam 	Ernakulam East	Kunnathunad	Kunnathunadu	Vazhakkulam Gramapanchayath	11.44%	3083	8.80%	2455	12.44%	3573
Ernakulam 	Ernakulam North	Perumbavoor	Perumbavoor	Vengola	2.57%	843	4.30%	1190	5.30%	1946
Ernakulam 	Ernakulam North	Perumbavoor	Perumbavoor	Okkal Gramapanchayath	8.37%	1395	14.20%	1917	15.20%	2890
Ernakulam 	Ernakulam North	Perumbavoor	Perumbavoor	Koovappady Gramapanchayath	18.20%	4444	14.80%	3205	19.20%	5208
Ernakulam 	Ernakulam North	Perumbavoor	Kuruppampady	Rayamangalam Gramapanchayath	13.01%	3242	11.10%	2078	14.01%	4062
Ernakulam 	Ernakulam North	Perumbavoor	Kuruppampady	Vengoor Gramapanchayath	9.07%	1343	9.40%	1176	10.40%	1723
Ernakulam 	Ernakulam North	Paravoor	Paravoor	North Paravur	12.69%	2819	23%	4992	25%	5869
Ernakulam 	Ernakulam North	Perumbavoor	Kuruppampady	Asamannur	4.53%	609	15.70%	1739	16.70%	2521
Ernakulam 	Ernakulam North	Angamaly	Kalady	Malayattoor-Neeleswaram Gramapanchayath	7.36%	1266	9.40%	837	10.40%	2078
Ernakulam 	Ernakulam North	Angamaly	Kalady	Kalady	8.74%	1643	8.80%	NA	9.80%	2139
Ernakulam 	Ernakulam North	Aluva	Nedumbassery	Kanjoor Gramapanchayath	3.76%	564	9.20%	1183	10.20%	1790
Ernakulam 	Ernakulam North	Angamaly	Kalady	Ayyampuzha	2.06%	198	5.70%	490	6.70%	686
Ernakulam 	Ernakulam North	Angamaly	Angamaly	Karukutty Gramapanchayath	4.41%	825	5.30%	884	6.30%	1411
Ernakulam 	Ernakulam North	Angamaly	Kalady	Manjapra Gramapanchayath	4.07%	457	8.30%	704	9.30%	1099
Ernakulam 	Ernakulam North	Angamaly	Aroor	Thuravoor Gramapanchayat	9.44%	1431	10.10%	2877	11.10%	1965
Ernakulam 	Ernakulam North	Angamaly	Angamaly	Mookkannoor Gramapanchayath	6.56%	878	6.10%	695	7.56%	1115
Palakkad 	Palakkad East	Malampuzha	Puthussery	Marutharode Gramapanchayath	22.42%	4696	34.20%	4809	39%	10582
Ernakulam 	Ernakulam North	Kalamassery	Karumalloor	Alangad Gramapanchayath	12.02%	3407	13.10%	3593	14.10%	5008
Ernakulam 	Ernakulam North	Paravoor	Paravoor	Varapuzha Gramapanchayath	13.23%	2321	12%	1692	14.23%	2869
Ernakulam 	Ernakulam North	Kalamassery	Karumalloor	Karumalloor Gramapanchayath	13.85%	3511	15.80%	3468	16.80%	5178
Ernakulam 	Ernakulam North	Paravoor	Vadakkekara	Chittattukara Gramapanchayath	9.11%	1848	16.90%	2942	17.90%	4101
Ernakulam 	Ernakulam North	Paravoor	Vadakkekara	Vadakkekkara Gramapanchayath	14.76%	3450	16.80%	3409	17.80%	4757
Ernakulam 	Ernakulam North	Paravoor	Paravoor	Ezhikkara	8.28%	1115	16.30%	1913	17.30%	2662
Ernakulam 	Ernakulam North	Paravoor	Paravoor	Kottuvally Gramapanchayath	16.83%	4705	16.70%	4382	17.83%	5966
Ernakulam 	Ernakulam North	Paravoor	Vadakkekara	Chendamangalam Gramapanchayath	9.14%	1772	14.40%	2486	15.40%	3417
Ernakulam 	Ernakulam City	Kochi	Mattancherry	Kochi	10.98%	28929	16.82%	59672	17.82%	73391
Ernakulam 	Thrissur North	Wadakkanchery	Wadakkanchery	Wadakanchery	15.47%	6356	18.10%	6485	19.10%	9649
Palakkad 	Palakkad East	Malampuzha	Malampuzha	Malampuzha Gramapanchayath	33.21%	3351	32%	4898	39%	4373
Palakkad 	Palakkad East	Nenmara	Kollengode	Muthalamada Gramapanchayath	19.71%	4723	15.50%	2765	39%	11038
Ernakulam 	Thrissur North	Guruvayoor	Chavakkad	Chavakkad	14.66%	3736	28.50%	7398	29.50%	9479
Palakkad 	Palakkad East	Nenmara	Nenmara	Koduvayur Gramapanchayath	30.34%	5979	23.70%	3812	39%	9183
Palakkad 	Palakkad East	Nenmara	Kollengode	Kollengode Gramapanchayat	26.87%	5115	25.10%	5357	39%	8985
Ernakulam 	Thrissur South	Chalakudy	Chalakudy	Chalakudy	4.32%	1471	10%	2819	11%	4604
Palakkad 	Palakkad East	Malampuzha	Puthussery	Elappully	20.62%	5483	29.60%	7309	39%	11934
Ernakulam 	Thrissur South	Chalakudy	Koratty	PariyarmThrissur	4.16%	653	5%	NA	6%	1113
Palakkad 	Palakkad East	Alathur	Alathur	Thenkurissi Grampanchayat	16.57%	2908	23.90%	3935	39%	8325
Ernakulam 	Thrissur South	Chalakudy	Koratty	Koratty	6.30%	1342	9.10%	1600	10.10%	2786
Ernakulam 	Thrissur South	Chalakudy	Chalakudy	Kodassery	7.12%	1632	11.50%	2270	12.50%	3595
Ernakulam 	Thrissur South	Chalakudy	Koratty	Kadukutty	8.29%	1411	9%	1357	10%	2092
Ernakulam 	Thrissur South	Kodungallur	Mala	Poyya	14.33%	2137	13.80%	1386	15.33%	2509
Palakkad 	Palakkad East	Kongad	Kongad	Keralasseri Gramapanchayath	23.41%	2405	31.40%	3085	39%	4788
Palakkad 	Palakkad East	Malampuzha	Malampuzha	Mundur Gramapanchayath	21.91%	4394	30.20%	5941	39%	9502
Ernakulam 	Thrissur South	Kodungallur	Mala	Annamanada	10.24%	2180	11.80%	2225	12.80%	3311
Ernakulam 	Thrissur South	Irinjalakuda	Aloor	Aloor	15.15%	4238	30.90%	8408	31.90%	11217
Palakkad 	Palakkad West	Mannarkad	Attappady	Parudur	24.88%	2135	26.40%	9661	39%	3802
Ernakulam 	Thrissur South	Kodungallur	Kodungallur	Vellangalur	15.16%	3582	14.30%	3224	16.16%	4790
Ernakulam 	Thrissur South	Kodungallur	Kodungallur	Puthenchira	19.99%	2901	13.40%	1712	20.99%	3486
Palakkad 	Palakkad West	Mannarkad	Attappady	Agali	17.39%	3594	23.50%	4629	39%	9381
Palakkad 	Palakkad East	Kongad	Karimba	Karimba	19.47%	3552	22.50%	3817	39%	8698
Thiruvananthapuram	Pathanamthitta	Thiruvalla	Thiruvalla	Kuttoor Gramapanchayath	26.96%	3360	32.80%	3387	39%	6496
Ernakulam 	Thrissur South	Irinjalakuda	Aloor	Muriyad	19.30%	3750	37.20%	6916	38.20%	9213
Ernakulam 	Thrissur South	Irinjalakuda	Irinjalakuda	Kattoor	17.24%	2038	33.80%	3562	34.80%	5276
Palakkad 	Palakkad West	Ottapalam	Ottapalam	Lakkidi Peroor Gram Panchayat	28.96%	6373	31.20%	6397	39%	10677
Palakkad 	Palakkad West	Ottapalam	Ottapalam	Ambalapara	26.21%	6255	30.50%	7008	39%	11895
Ernakulam 	Thrissur City	Puthukkad	Amballur	Thrikkur	17.76%	3499	38.80%	NA	39.80%	9200
Ernakulam 	Thrissur City	Puthukkad	Puthukkad	Pudukkad	15.43%	2527	35.40%	5232	36.40%	6879
Thiruvananthapuram	Pathanamthitta	Thiruvalla	Mallappally	Mallappally Gramapanchayath	11.52%	1280	22.90%	2201	39%	6109
Palakkad 	Palakkad West	Thrithala	Thrithala	Nagalassery Grampanchayat	24.88%	4564	23.90%	4231	39%	8803
Palakkad 	Malappuram West	Thavanur	Thavanur	Edappal	19.38%	4328	21.30%	4030	39%	10957
Ernakulam 	Thrissur City	Puthukkad	Amballur	Alagappanagar	11.20%	2254	34.30%	6566	35.30%	8205
Palakkad 	Malappuram West	Vallikkunnu	Vallikkunnu	Vallikkunnu	13.74%	4500	19.60%	9173	39%	14974
Palakkad 	Malappuram West	Vallikkunnu	Pallikkal	Chelembra	15.32%	3463	18.90%	NA	39%	10597
Palakkad 	Malappuram West	Vallikkunnu	Pallikkal	Pallikkal	7.76%	2471	10.40%	4007	39%	14785
Kozhikode 	Kozhikode City	Kunnamangalam	Kunnamangalam	Kunnamangalam	21.89%	7787	21.80%	7489	39%	16535
Kozhikode 	Kozhikode Rural	Elathur	Chelannur	Nanminda	17.68%	3602	18.40%	3506	39%	9263
Kozhikode 	Kozhikode Rural	Elathur	Chelannur	Kakkur	15.94%	2691	18.10%	2795	39%	7560
Kozhikode 	Kozhikode North	Koyilandy	Koyilandy	Chengottukavu	21.41%	4108	16.80%	2946	39%	8792
Thiruvananthapuram	Pathanamthitta	Thiruvalla	Mallappally	Kunnanthanam Gramapanchayath	19.38%	2428	26.40%	2945	39%	6704
Ernakulam 	Thrissur City	Nattika	Nattika	Anthikkad	17.20%	2402	38.50%	6599	39.50%	6954
Ernakulam 	Thrissur South	Kaipamangalam	Edavilangu	Eriyad	12.96%	3762	11%	2750	13.96%	5059
Palakkad 	Wayanad	Sulthanbathery	Pulpally	Poothadi	24.26%	6233	28.20%	6264	39%	12169
Palakkad 	Wayanad	Kalpetta	Padinjarathara	Kottathara	19.69%	2288	22%	2300	39%	5048
Palakkad 	Wayanad	Sulthanbathery	Sulthan Bathery	Nenmeni	11.39%	3508	22.80%	6402	39%	13938
Ernakulam 	Thrissur South	Kaipamangalam	Kaipamangalam	Mathilakam	14.33%	2630	13.20%	3289	15.33%	3502
Ernakulam 	Thrissur South	Kaipamangalam	Kaipamangalam	Kaipamangalam	13.34%	3087	12.10%	2115	14.34%	4205
Ernakulam 	Thrissur South	Kaipamangalam	Kaipamangalam	Edathiruthy	11.61%	2188	13.10%	2246	14.10%	3446
Thiruvananthapuram	Pathanamthitta	Ranni	Ayiroor	Kottangal Gramapanchayath	18.41%	2015	27.20%	2528	39%	5662
Thiruvananthapuram	Pathanamthitta	Ranni	Ayiroor	Kottanad Gramapanchayath	23.19%	2065	29.20%	2225	39%	4851
Kozhikode 	Kannur South	Kuthuparamba	Panoor	Triprangottoor	25.99%	5292	16%	3442	39%	9587
Thiruvananthapuram	Pathanamthitta	Thiruvalla	Mallappally	Kaviyoor Gramapanchayath	28.18%	3057	30.20%	2792	39%	5280
Ernakulam 	Thrissur North	Guruvayoor	Chavakkad	Engandiyoor	28.04%	4428	49.10%	5327	50.10%	10016
Ernakulam 	Thrissur City	Manalur	Manalur	Venkitangu	15.87%	2457	31.10%	4956	32.10%	7086
Ernakulam 	Thrissur City	Manalur	Pavaratty	Pavaratty	20.11%	2548	28.30%	3227	29.30%	5047
Ernakulam 	Thrissur City	Manalur	Manalur	Mullassery	28.05%	4021	43.50%	6313	44.50%	7922
Kozhikode 	Kasaragod	Kasargod	Kasaragod	Mogral-Puthur	20.55%	3051	28.80%	4087	39%	7068
Ernakulam 	Thrissur North	Wadakkanchery	Kaipparambu	Kolazhy	13.37%	2808	23.20%	4411	24.20%	6713
Ernakulam 	Thrissur North	Wadakkanchery	Kaipparambu	Tholur	14.90%	1938	16.90%	2121	17.90%	2843
Ernakulam 	Thrissur North	Wadakkanchery	Wadakkanchery	Mulamkunnathukavu	11.11%	1515	16.60%	2051	17.60%	2951
Ernakulam 	Thrissur North	Wadakkanchery	Kaipparambu	Kaiparambu	17.82%	3899	20.40%	4249	21.40%	5641
Ernakulam 	Thrissur North	Wadakkanchery	Wadakkanchery	Avanur	16.58%	2589	21%	3195	22%	4057
Kozhikode 	Kasaragod	Manjeshwaram	Kumbla	Kumbala	26.24%	7040	29.40%	8343	39%	14385
Kozhikode 	Kasaragod	Manjeshwaram	Kumbla	Puthige	19.29%	2704	30%	4014	39%	6671
Ernakulam 	Thrissur City	Ollur	Peechi	Pananchery	17.32%	5283	33.20%	9499	34.20%	13058
Ernakulam 	Thrissur City	Ollur	Ollur	Nadathara	17.37%	3742	40.60%	8563	41.60%	10292
Kozhikode 	Kasaragod	Manjeshwaram	Manjeshwar	Vorkady	29.00%	4709	36%	5739	39%	7611
Kozhikode 	Kasaragod	Manjeshwaram	Manjeshwar	Manjeswaram	26.25%	6270	33.60%	8014	39%	12563
Ernakulam 	Thrissur North	Chelakkara	Chelakkara	Pazhayannur	14.10%	3761	17.30%	4096	18.30%	5759
Ernakulam 	Thrissur North	Chelakkara	Cheruthuruthy	Panjal	21.65%	3778	20.40%	3107	22.65%	4377
Kozhikode 	Kasaragod	Udma	Muliyar	Delampadi	26.57%	4086	29.30%	3977	39%	7094
Ernakulam 	Thrissur North	Chelakkara	Cheruthuruthy	Vallathole Nagar	18.25%	3114	20.60%	3290	39%	7924
Kozhikode 	Kasaragod	Kasargod	Badiadka	Karaduka	33.16%	4666	37.20%	4917	39%	6266
Ernakulam 	Thrissur North	Chelakkara	Cheruthuruthy	Varavoor	16.46%	2211	18.50%	2270	19.50%	2933
Ernakulam 	Thrissur North	Wadakkanchery	Wadakkanchery	Thekkumkara	11.84%	2538	16.90%	3203	17.90%	4641
Ernakulam 	Thrissur North	Chelakkara	Cheruthuruthy	Mullurkkara	24.24%	3380	18.70%	2276	25.24%	4295
Ernakulam 	Thrissur North	Kunnamkulam	Erumapetty	Erumapetty	18.87%	3973	20%	6560	21%	5302
Ernakulam 	Thrissur North	Chelakkara	Cheruthuruthy	Desamangalam	13.20%	1968	18.50%	NA	19.50%	3491
Ernakulam 	Thrissur North	Kunnamkulam	Erumapetty	Velur	22.33%	4476	17.70%	2808	23.33%	5803
Ernakulam 	Thrissur North	Kunnamkulam	Erumapetty	Kadangode	15.51%	3342	17.20%	3474	18.20%	4902
Alappuzha	Alappuzha South	Haripad	Karthikappalli	Muthukulam gram panchayat	22.66%	3198	38.10%	5670	39.10%	6754
Ernakulam 	Thrissur North	Kunnamkulam	Kunnamkulam	Kattakampal	16.93%	2908	18.50%	2831	19.50%	4252
Ernakulam 	Thrissur City	Manalur	Pavaratty	Kandanassery	16.79%	2765	36.90%	6099	39%	8091
Ernakulam 	Thrissur North	Kunnamkulam	Erumapetty	Kadavalloor	6.96%	1680	14.90%	3295	15.90%	4941
Alappuzha	Alappuzha South	Kayamkulam	Kayamkulam	Pathiyoor gram panchayat	25.54%	5888	38.10%	7670	39.10%	11322
Ernakulam 	Thrissur City	Manalur	Pavaratty	Choondal	16.05%	3381	29.10%	5809	30.10%	7743
Ernakulam 	Thrissur North	Guruvayoor	Guruvayoor	Vadakkekkad	12.41%	2142	25%	4372	26%	6098
Ernakulam 	Thrissur City	Manalur	Manalur	Elavally	29.18%	5417	38.30%	6915	39.30%	9074
Ernakulam 	Thrissur North	Guruvayoor	Guruvayoor	Punnayoor	8.50%	2022	15.70%	3627	16.70%	5202
Ernakulam 	Thrissur North	Guruvayoor	Chavakkad	Orumanayoor	8.96%	656	23.80%	1906	24.80%	2423
Ernakulam 	Thrissur North	Guruvayoor	Chavakkad	Kadappuram	11.96%	1814	14.90%	2278	15.90%	3430
Palakkad 	Palakkad West	Mannarkad	Mannarkkad	Mannarkad	11.54%	2241	18.50%	3642	19.50%	4491
Palakkad 	Palakkad West	Shornur	Cherpulassery	Cherpulassery	11.60%	3101	18.80%	4204	19.80%	5969
Palakkad 	Palakkad West	Pattambi	Pattambi	Pattambi	11.99%	2155	17.70%	3453	18.70%	4073
Palakkad 	Palakkad East	Chittur	Chittoor	ChitturThathamangalam	6.45%	1448	20.40%	3699	21.40%	5263
Alappuzha	Alappuzha South	Kayamkulam	Kayamkulam	Devikulangara Grama Panchayat	23.52%	3389	38.40%	4317	39.40%	6323
Palakkad 	Palakkad East	Kongad	Kongad	Parli Gramapanchayath	38.56%	8700	37%	7923	39.56%	10777
Ernakulam 	Thrissur South	Kodungallur	Kodungallur	Kodungallur	38.67%	17822	26.60%	21512	39.67%	21905
Palakkad 	Palakkad West	Tarur	Vadakkenchery	Kannambra Gramapanchayath	10.02%	1672	17.80%	2741	18.80%	3733
Palakkad 	Palakkad West	Tarur	Vadakkenchery	Vadakkenchery Gramapanchayath	11.48%	2636	17.30%	4092	18.30%	4868
Palakkad 	Palakkad West	Tarur	Tharur	Tarur Grampanchayat	16.10%	2666	18.60%	2912	19.60%	4099
Thiruvananthapuram	Thiruvananthapuram North	Varkala	Navaikulam	Chemmaruthy Gramapanchayath	27.03%	5518	38.70%	7521	39.70%	10554
Palakkad 	Palakkad East	Alathur	Vandazhi	Kizhakkanchery Gramapanchayath	10.94%	2790	15%	3670	16%	5013
Palakkad 	Palakkad West	Tarur	Vadakkenchery	Kavassery	11.33%	2117	18.90%	3270	19.90%	4344
Palakkad 	Palakkad East	Alathur	Alathur	Erimayur	9.89%	1914	16.60%	3126	17.60%	4282
Palakkad 	Palakkad East	Alathur	Alathur	Alathur	5.98%	1060	14.30%	2384	15.30%	2898
Palakkad 	Palakkad East	Malampuzha	Puthussery	Kodumbu	16.71%	2601	28%	3924	29%	5187
Palakkad 	Wayanad	Sulthanbathery	Sulthan Bathery	Noolpuzha	12.58%	2185	23.30%	3460	25%	4779
Palakkad 	Palakkad East	Palakkad	Palakkad	Palakkad	35.77%	28546	38.70%	42237	39.70%	44793
Thiruvananthapuram	Thiruvananthapuram South	Kovalam	Kovalam	Venganoor Gramapanchayat	25.07%	5986	39.10%	7927	40.10%	11408
Alappuzha	Alappuzha South	Kayamkulam	Chettikulangara	Chettikulangara Grama Panchayat	27.47%	6693	39.10%	7837	40.10%	12357
Ernakulam 	Thrissur City	Manalur	Manalur	Vadanappilly	31.34%	5871	39.10%	7701	40.10%	9626
Palakkad 	Wayanad	Sulthanbathery	Pulpally	Pulpally	16.96%	3604	23.60%	4304	24.60%	6382
Palakkad 	Palakkad East	Nenmara	Nenmara	Nemmara Grampanchayat	14.40%	3501	20.50%	4501	21.50%	5852
Palakkad 	Palakkad East	Alathur	Vandazhi	Melarcode Grampanchayat	15.96%	2869	18.20%	2879	19.20%	4035
Palakkad 	Palakkad East	Nenmara	Nenmara	Pallassena Grampanchayat	19.02%	3194	21.10%	3106	22.10%	3833
Palakkad 	Palakkad East	Nenmara	Kollengode	Elavanchery Gramapanchayath	15.19%	1945	16.40%	1867	17.40%	2536
Palakkad 	Palakkad East	Nenmara	Kollengode	Nelliyampathy Gramapanchayath	9.26%	300	7.90%	183	10.26%	402
Palakkad 	Palakkad East	Nenmara	Nenmara	Ayiloor	7.67%	1458	12.30%	1903	13.30%	2973
Palakkad 	Palakkad East	Chittur	Chittoor	Pattanchery Gramapanchayath	10.34%	1871	18.60%	3794	19.60%	3771
Palakkad 	Palakkad East	Chittur	Chittoor	Peruvemba Gramapanchayath	7.38%	1006	15.40%	1931	16.40%	2408
